id;cat_name;count
1806;(Архив) Гипермаркеты (непродовольственные);28
1808;(Архив) Универмаги;68
1809;(Архив) Универсамы;1615
1810;(Архив) Комиссионные магазины;61
1811;(Архив) Стоковые магазины (магазины «Сток»);12
1812;(Архив) Аутлет-магазины;6
1813;(Архив) Товары для дома;484
1814;(Архив) Магазины товаров повседневного спроса;669
1815;(Архив) Товары для женщин;410
1816;(Архив) Магазины «Зоотовары»;584
1817;(Архив) Магазины «Минеральные воды»;18
1818;(Архив) Магазины «Хлеб»;276
1819;(Архив) Магазины «Книги»;282
1820;(Архив) Магазины «Обувь»;1891
1821;(Архив) Магазины «Природа»;25
1822;(Архив) Гипермаркеты (продовольственные);54
1823;(Архив) Магазины-склады;148
1824;(Архив) Универмаги «Детский Мир»;68
1826;(Архив) Магазины «Бутик»;1026
1827;(Архив) Магазины «Промтовары»;5204
1828;(Архив) Минимаркеты;415
1829;(Архив) Товары для будущих мам;27
1830;(Архив) Товары для новобрачных;20
1831;(Архив) Торговые Дома;24
1832;(Архив) Магазины «Рыба»;253
1833;(Архив) Магазины «Электротовары»;1190
1834;(Архив) Магазины «Мебель»;1672
1835;(Архив) Магазины «Одежда»;7073
1836;(Архив) Магазины «Семена»;43
1837;(Архив) Автосалоны;211
1838;(Архив) Магазины «Секонд Хенд»;135
1840;(Архив) Гастрономы;241
1842;(Архив) Магазины-салоны;1232
1843;(Архив) Магазины с комбинированным ассортиментом;109
1844;(Архив) Торговые центры (аутлет-центры, моллы, ритейл-парки);28
1845;(Архив) Супермаркеты;878
1847;(Архив) Товары для детей;859
1848;(Архив) Товары для полных;6
1849;(Архив) Магазины «Ткани»;279
1850;(Архив) Магазины «Охотник»;53
1851;(Архив) Прочие специализированные непродовольственные предприятия торговли;14938
1852;(Архив) Магазины «Мир садовода»;48
1853;(Архив) Магазины «Овощи-фрукты»;556
1854;(Архив) Магазины «Алкогольные напитки»;938
1855;(Архив) Центры оптовой и мелкооптовой непродовольственной торговли;8
1856;(Архив) Товары для мужчин;75
1857;(Архив) Магазины «Продукты»;6104
1858;(Архив) Товары для молодежи;26
1859;(Архив) Магазины «Дисконт»;26
1860;(Архив) Магазины со смешанным ассортиментом;72
1861;(Архив) Магазины «Кэш энд Кэрри»;10
1862;(Архив) Магазины «Дискаунтер»;113
1881;Автовокзалы и автостанции Москвы;7
1901;(Архив) Тарифы на коммунальные услуги;186
1902;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2015 год;434
1903;Общественное питание в Москве;16371
1904;Бытовые услуги на территории Москвы;13757
1921;Справочник персоналий: Департамент города Москвы по конкурентной политике;12
1922;Справочник персоналий: Департамент капитального ремонта города Москвы;29
1923;Справочник персоналий: Департамент по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности города Москвы;10
1924;График приема граждан: Департамент города Москвы по конкурентной политике;3
1925;График приема граждан: Департамент капитального ремонта города Москвы;8
1926;График приема граждан: Департамент по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности города Москвы;1
1928;Справочник персоналий: Государственная инспекция по контролю за использованием объектов недвижимости города Москвы;8
1929;График приема граждан: Государственная инспекция по контролю за использованием объектов недвижимости города Москвы;6
1930;Архивы Москвы;11
1931;Справочник персоналий: Главное архивное управление города Москвы;13
1932;График приема граждан: Главное архивное управление города Москвы;2
1933;(Архив) График приема граждан: Региональная энергетическая комиссия города Москвы;3
1934;(Архив) Справочник персоналий: Региональная энергетическая комиссия города Москвы;14
1935;Данные по взысканиям, наложенным в результате административных нарушений. Организации, имеющие наибольшую задолженность по оплате штрафов ОАТИ;100
1936;Рейтинг управляющих организаций города Москвы;2073
1937;График приема граждан: Государственная жилищная инспекция города Москвы;8
1938;График приема граждан: Департамент здравоохранения города Москвы;3
1939;Наименования органов исполнительной власти субъектов Российской Федерации, осуществляющих переданные полномочия Российской Федерации в области охраны здоровья граждан;1
1940;График приема граждан: Департамент труда и социальной защиты населения города Москвы;27
1941;График приема граждан: Департамент спорта города Москвы;7
1942;Справочник персоналий: Департамент спорта города Москвы;6
1943;(Архив) Опоры двойного назначения;4152
1944;График приема граждан: Государственная инспекция города Москвы по качеству сельскохозяйственной продукции, сырья и продовольствия;6
1945;Справочник персоналий: Государственная инспекция города Москвы по качеству сельскохозяйственной продукции, сырья и продовольствия;6
1946;Справочник персоналий: Департамент труда и социальной защиты населения города Москвы;28
1947;Справочник персоналий: Комитет государственного строительного надзора города Москвы;11
1948;График приема граждан: Комитет государственного строительного надзора города Москвы;8
1949;Данные вызовов подразделений пожарно-спасательного гарнизона города Москвы по административным округам;770
1950;Данные вызовов подразделений пожарно-спасательного гарнизона города Москвы по месяцам;70
1951;Доля детей в возрасте 5 - 18 лет, обучающихся по дополнительным образовательным программам, в общей численности детей этого возраста (Указ Президента Российской Федерации от 7 мая 2012 года № 599 «О мерах по реализации государственной политики в области образования и науки»);5
1952;Доля занятого населения в возрасте от 25 до 65 лет, прошедшего повышение квалификации и (или) профессиональную подготовку, от общей численности занятого в области экономики населения этой возрастной группы (Указ Президента Российской Федерации от 7 мая 2012 года № 599 «О мерах по реализации государственной политики в области образования и науки»);4
1953;Доля образовательных учреждений среднего профессионального образования и образовательных учреждений высшего профессионального образования, здания которых приспособлены для обучения лиц с ограниченными возможностями здоровья (Указ Президента Российской Федерации от 7 мая 2012 года № 599 «О мерах по реализации государственной политики в области образования и науки»);7
1954;Доступность дошкольного образования для детей в возрасте от трех до семи лет (Указ Президента Российской Федерации от 7 мая 2012 года № 599 «О мерах по реализации государственной политики в области образования и науки»);8
1956;График приема граждан: Объединение административно-технических инспекций города Москвы;11
1957;Танатологические отделения (морги);12
1958;Наименования органов исполнительной власти субъектов Российской Федерации, осуществляющих переданные полномочия Российской Федерации в области образования;1
1959;График приема граждан: Департамент средств массовой информации и рекламы города Москвы;5
1960;Справочник персоналий: Департамент средств массовой информации и рекламы города Москвы;10
1961;Справочник персоналий: Государственная жилищная инспекция города Москвы;19
1962;Справочник персоналий: Департамент культурного наследия города Москвы;19
1963;График приема граждан: Департамент культурного наследия города Москвы;4
1964;Количество согласованных перепланировок в многоквартирных домах (МКД);792
1965;Принятые меры административного воздействия за нарушения, выявленные при осуществлении лицензионного контроля предпринимательской деятельности по управлению многоквартирными домами;3901
1981;Справочник персоналий: Объединение административно-технических инспекций города Москвы;20
1982;Динамика изменения величины прожиточного минимума в городе Москве;54
1983;Открытые данные по работе управляющих организаций;16565
1984;Справочник персоналий: Департамент финансов города Москвы;53
1985;График приема граждан: Департамент финансов города Москвы;3
1986;Структура доходов бюджета;18
1987;Количественные показатели по управляющим организациям;16565
1988;Справочник персоналий: Комитет ветеринарии города Москвы;9
1989;График проведения городских ярмарок вакансий;4
1990; Наименования органов исполнительной власти субъектов Российской Федерации, осуществляющих полномочия в области содействия занятости населения и переданное полномочие по осуществлению социальных выплат гражданам, признанным в установленном порядке безработными;1
1992;Справочник персоналий: Управление записи актов гражданского состояния города Москвы;4
