Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
55.744995	37.597202	Журфак	Большой Афанасьевский переулок, д. 3 м. Кропоткинская, Москва 119019 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.765312	37.611206	Kot Шрёdiнгера	Большая Дмитровка, 32 вход во дворе дома, Москва 115487 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.761063	37.650394	Омулевая бочка	ул. Покровка, д. 33/22, стр. 1, Москва 105062 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.778824	37.588253	Steak It Easy	Лесная, 9 БЦ "Белые Сады", Москва 125047 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.805485	37.414536	Pioppo Albero	ул. Маршала Катукова д. 25 ТЦ Солнечный ветер, 3 этаж, Москва 123181 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.757473	37.60271	Квартира 44	ул. Большая Никитская, д. 22/2, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.750412	37.58348	MEGUmi	Новинский бульвар, 8 cтр. 2 Lotte Hotel, Москва 121099 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75146	37.565613	Мерседес Бар	Кутузовский пр., 2/1 отель Radisson Royal, 31 этаж, Москва Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.716534	37.18408	La Colline	ул. Речная, стр. 1 Большое Сареево, Горки-2, Горское Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.73757	37.617138	Квартира 44	ул. Малая Якиманка, д. 24/8 м. Полянка, Москва 119180 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76143	37.614613	Воронеж	ул. Большая Дмитровка, 12, Москва 115487 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74566	37.62649	Бар "Подозрительные лица"	ул. Пятницкая, 2/38, корп.1, Москва 115035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75032	37.583908	OVO	Новинский бульв., 8/2 Lotte Hotel, 2nd floor, Москва 121099 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75743	37.613777	Ресторан Novikov Restaurant and Bar	Тверская ул., 3 The Ritz-Carlton Moscow Hotel, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.751244	37.586826	Corner Cafe&Kitchen	ул. Композиторская, 17, Москва 121099 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.730537	37.625515	Ача-Чача	ул. Пятницкая, 82/34, стр. 2, Москва 115184 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.735584	37.625546	Квартира 44	ул. Малая Ордынка, д. 24, Москва 119017 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
