Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
79.72865	100.277985	Пицца Маэстро	Северная, 6, Сегежа 186424 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.51981	30.19917	Блин, карельский	ул. Ладожской Флотилии 16, Лахденпохья 186730 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78623	34.345207	Небо Золотое	Шотмана, 31, Петрозаводск 185001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78793	34.36948	ГарантЪ	Карла Маркса проспект, 22, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78502	34.39553	Папарацци	Александра Невского проспект, 30, Петрозаводск 185005 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78235	34.37144	Государь	ул. Калинина, 1, Петрозаводск 185000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
64.58654	30.60033	Burger Club	ул. Ленина, 3Б, Костомукша 186931 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76124	34.32193	Маэстро	Лесной проспект, 47а, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78804	34.37614	Чарльз Дарвин	Кирова, 2, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77739	34.34029	Горка	Лососинское шоссе 17, Петрозаводск 185002 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78942	34.33076	Чайхана	Муезерская, 15а ст7, Петрозаводск 185007 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.203663	34.265747	КАРАМЕЛЬКА	Ул. Пролетарская, 15, Кондопога 186222 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76124	34.32193	KFC	Лесной проспект, 47а, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.52431	30.16723	Лахденпохья	Ленинградское шоссе, 49а, Яккима 186731 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.552944	30.189308	Акуловка	Ленинградское шоссе, 38В, Лахденпохья 186730 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.789177	34.352066	MY KITCHEN Restaurant & Bar	Антикайнена, 38 ТЦ А38, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Le Cafe	Ленина проспект, д. 14 ТРЦ "Макси", 1 этаж, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
