Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
53.24808	50.21469	Афродита	ул. Губанова, 3а, Самара 443125 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18153	50.18913	Лира	ул. Рубероидная, д.51, Самара Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21347	50.13072	Хостел На Осипенко 39	Осипенко, 39, Самара 443013 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.22836	50.24978	Очаг	Кирова проспект, 255Б ул. К.Маркса, Самара 443035 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.23729	50.27179	Уютная	ул. Строителей, 36, Самара 443051 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19175	50.22051	Старт	ул. Советской Армии, д. 243, Самара 443011 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.1792	50.085476	Галчонок	ул.Фрунзе, 2, Самара 443099 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20615	50.12491	Отель С.В.	Ново-садовая улица, д. 25, Самара 443002 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.25022	50.24208	Отель «Монета»	Ulitsa Staro-Zagora 178a, Самара 443095 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20231	50.14534	Эдельвейс, гостинично-ресторанный комплекс	Московская улица, д. 6, Самара 443013 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19344	50.16434	Ниагара	ул. Партизанская, 62, Самара 443093 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20424	50.23903	Кристалл	ул. Красных Коммунаров, 17а, Самара 443008 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.540127	49.406685	Гостиница "Русь"	ул. Лва Толстого, 30, Тольятти 445022 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.1942	50.17758	Алпемо	ул. Революционная, 155, Самара 443069 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.22761	50.24961	Hotel Da Vinchi	Krasnodonskaya 63, Самара 443035 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.471542	49.973186	Маяк	ул. Школьная, д. 50, с. Власть Труда 443545 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21038	50.15213	World Samara Hostel	Ул. Мичурина 112-45, Самара 443068 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.14713	48.45847	Motel Syzran	879, 5th KM of M5 Highway, Сызрань 446012 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.1824	50.07552	Апарт-отель Микс	ул. Максима Горького, 68, Самара 443099 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
