с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,СЕРБИЯ,"Ленинградский проспект,  д. 36, Москва 125167 Россия",55.7912,37.55942
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ласточка,"Верхняя Масловка, 7, Москва 127083 Россия",55.79218,37.56914
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,ТоДаСё,"Покровка, 21, Москва 105062 Россия",55.75977,37.64708
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Мона Лиза,"ул. Тимирязевская, 11, Москва 127422 Россия",55.807285,37.571796
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Burger King,"Дежнёва проезд, 23 A, Москва 127081 Россия",55.87196,37.643623
2020-10-23,Московская Область,Ногинск,Рестораны,,,Sorry бабушка,"ул. 3-го Интернационала, 67, Ногинск 142400 Россия",55.86513,38.441807
2020-10-23,Московская Область,Городской округ Домодедово,Рестораны,,,Сталкер,"ул. Комсомольская, 1а, Домодедово Россия",55.45588,37.75721
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Кофейная пауза,"Тверская ул., д. 31, Москва Россия",55.769157,37.596878
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Бакинский бульвар,"Балаклавский проспект, владение 11А, Москва 117461 Россия",55.641956,37.593727
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Segafredo City Life,"Пресненская наб., д. 2, (ТРЦ ""Афимолл Сити"") Shopping Center Afimall City, Москва 123317 Россия",55.74894,37.53874
2020-10-23,Московская Область,Зарайск,Рестораны,,,ТРАКТИРЪ У БАШНИ,"Гуляева,  3, Зарайск 140600 Россия",54.76351,38.87538
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Теремок,"МКАД 53 км, д. 1 гипермаркет ""Ашан"", Москва 613310 Россия",55.68449,37.41614
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Бар,Bijou Bar,"Новослободская, 16А, Москва 127055 Россия",55.77957,37.60144
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Бэд-кафе,"Пресненский Вал, 6, стр. 2 м. Улица 1905 года, Москва 123022 Россия",55.77157,37.5713
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Сокольническая Застава,"ул. Стромынка, 3 вход со двора, Москва 107014 Россия",55.78957,37.6831
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Паб,Bud House & Grill,"Настасьинский пер., 4 ул. Тверская, Москва 127006 Россия",55.76656,37.6034
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Sodexo,"Пресненская Набережная, 10 блок А, Москва 123317 Россия",55.74894,37.53874
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Кофе Хауз,"Щукинская, вл42, Москва 123182 Россия",55.80993,37.48257
2020-10-23,Московская Область,Балашихинский район,Рестораны,,,Sorry Бабушка,"Советская, 4В, Балашиха 143902 Россия",55.79686,37.934757
2020-10-23,Московская Область,Зеленоградский Округ,Рестораны,,,Пармезан,"Панфиловский пр., 6, Зеленоград 124460 Россия",56.01436,37.20525
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Паприка,"Яхромская, 3/5, Москва 127411 Россия",55.88257,37.54004
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,АМСТЕЛ БАР,"Киевского Вокзала пл., д. 2, Москва 121059 Россия",55.74467,37.56577
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Матэ,"Люсиновская, д.12, Москва 115093 Россия",55.72832,37.62231
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Джонджоли,"Маросейка,  4/2/1, Москва 101000 Россия",55.757473,37.633793
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,PhoBo,"Нижний Сусальный, 5/1, Москва 105064 Россия",55.76152,37.66252
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Бар,Фейс Ту Фейс Бургерс,"ул. Сущёвская, 27/7, Москва 127055 Россия",55.78058,37.602215
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Маяк,"Звёздный бульвар, 17 ст3, Москва 129085 Россия",55.81829,37.63598
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Есть хинкали & Пить вино,"Поварская улица, 8/1, Москва 121069 Россия",55.754055,37.59898
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Life Bowl,"Кировоградская,  13а, Москва 117519 Россия",55.611614,37.608288
2020-10-23,Московская Область,Мытищинский район,Рестораны,,Фастфуд,Крошка Картошка,"Осташковское шоссе, д. 1 ТК Ашан, Мытищи 141014 Россия",55.93463,37.654
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Старый Дуб,"Юных Ленинцев, 115, Москва 109439 Россия",55.69958,37.73608
2020-10-23,Московская Область,Щелково,Рестораны,,Фастфуд,Taj Doner,"Советская,  5В/1, Щелково 141101 Россия",55.91018,38.009068
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Prime Star,"Садовническая, 82 ст2, Москва 115035 Россия",55.747753,37.626186
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Крошка Картошка,"Красного Маяка, 2Б, Москва 117519 Россия",55.61171,37.60172
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,City Cafe На Лестнице,"2-й Смоленский пер, 1/4, Москва 121099 Россия",55.74704,37.58177
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Прайм Стар,"Двинцев ул., д. 12 корп. 1 блок А, Москва 127018 Россия",55.79628,37.59998
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Столовая №17,"Анадырский проезд, 17, Москва 129327 Россия",55.85807,37.67501
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Стар Лаунж,"Бахрушина ул., д. 25, Москва Россия",55.73271,37.63736
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Кулинариум,"ул. Новокузнецкая, 6, Москва 119017 Россия",55.739876,37.629665
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Теремок,"Щепкина, 58 киоск, Москва 129110 Россия",55.784973,37.629665
2020-10-23,Московская Область,Химки,Рестораны,,,"Кафе ""Сытая деревня""","Ленинский пр., 27A, Химки 141401 Россия",55.89902,37.45835
2020-10-23,Московская Область,Красногорский район,Рестораны,,,4 Сыра,"Павшинский бул., 17, Красногорск Россия",55.82326,37.36607
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Шашлык House,"ул. Шаболовка, вл. 1, Москва 119049 Россия",55.72676,37.61141
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Быстрые перекусы,Бар",Ракета,"Пл.Тверской Заставы 7, Москва 125047 Россия",55.77695,37.58138
2020-10-23,Московская Область,Орехово-Зуево,Рестораны,,,Есенин,"ул. Ленина, 99, Орехово-Зуево 142600 Россия",55.79688,38.97491
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Норвич бар,"Энергетический пр-д. д.3, Москва 111116 Россия",55.758392,37.7097
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Папа Ньокки,"Малая Дмитровка, 3, Москва 127006 Россия",55.76698,37.606285
2020-10-23,Московская Область,Долгопрудный,Рестораны,,,Кафе Европа,"Первомайская улица, д.56Б, Долгопрудный 141700 Россия",55.97803,37.49961
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Теремок,"ул. Автозаводская, д.18 ТРЦ Ривьера, Москва 115280 Россия",55.70497,37.639637
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Черное море,"Лазоревый проезд, 1, Москва 129323 Россия",55.84951,37.63887
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Axiom Pub,"Большой бульвар, 42/1 Инновационный центр Сколково, Москва 143005 Россия",55.69519,37.34702
2020-10-23,Московская Область,Химки,Рестораны,,,Воккер,"8 Микрорайон, д. 8, стр. 1 ТЦ МЕГА Химки, Химки 141400 Россия",55.910698,37.396442
2020-10-23,Московская Область,Красногорский район,Рестораны,,,Березка,"ул. Ленина, д. 29, Красногорск 143404 Россия",55.81946,37.31997
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Шоколадница,"Варшавское ш., д. 97 Ритейл Парк, Москва 117556 Россия",55.66201,37.61867
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,кафе Сретенка,"ул. Сретенка 24/2, Москва 127051 Россия",55.77159,37.63274
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Subway,"Таганская, 2 ст4, Москва 109147 Россия",55.74106,37.6569
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Хинкальная,"Осенний бул., 12 ТЦ «Крылатский », 3 этаж, Москва 121614 Россия",55.75237,37.41009
2020-10-23,Московская Область,Дмитровский район,Рестораны,,,Помпончик,"Дмитровское ш., 5, Базарово Россия",56.15488,37.4865
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,KFC,"Андропова 8 ТЦ Мегаполис, Москва 115432 Россия",55.69596,37.66495
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Asiatico,"Смоленская, 3, Москва 119121 Россия",55.74522,37.58181
2020-10-23,Московская Область,Одинцовский район,Рестораны,,,Якитория,"Можайское шоссе, д. 71в, Одинцово 143005 Россия",55.66936,37.26308
2020-10-23,Московская Область,Щелковский район,Рестораны,,,Ресторан Золотые караси,"Участок 2А, Огуднево 141135 Россия",56.071053,38.289238
2020-10-23,Московская Область,Подольск,Рестораны,,,Делос,"Большая Зеленовская, 60, Подольск 142100 Россия",55.43681,37.54708
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ла' Десерт,"Арбат ул., д. 25/36, Москва Россия",55.75039,37.59468
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Марципан,"Новая пл., д. 14, Москва 109012 Россия",55.75898,37.62562
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Республика Шаварма,"Пресненская набережная, 8 В цокольном этаже, в переходе из ТРЦ ""АФИМОЛЛ Сити"" в комплекс ""Город Столиц"", Москва 123317 Россия",55.74894,37.53874
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Додо пицца,"Большая Полянка, 30, Москва 119180 Россия",55.734154,37.61896
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Кулинарная лавка братьев Караваевых,"ул. Черняховского, д.4, к.1, Москва 125319 Россия",55.80148,37.53267
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,KFC,"Грузинский Вал, 28, Москва 123056 Россия",55.775063,37.582836
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Бар,Паб",SHWARM,"Покровка,  2/1/1, Москва 101000 Россия",55.758305,37.639767
2020-10-23,Московская Область,Ликино-Дулево,Рестораны,,,Помпончик,"Минское шоссе 36 км, д. 1а, Ликино-Дулево 143020 Россия",55.62261,37.136097
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Мясо & Бефстроганов,"Барклая ул., д. 6, стр. 3, Москва 121087 Россия",55.74066,37.50389
