с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
7102589,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Гостиница Янтарный сезон,"ул. Юрия Гагарина, 41Б, Зеленоградск 238530 Россия",54.954536,20.455893
12202838,2020-12-15,Калининградская область,п. Заозерное,Отели,,,Вилла Марита,"ул. Солнечная, 27, п. Заозерное 297493 Россия",45.157482,33.260498
10273634,2020-12-15,Калининградская область,Калининград,Отели,,,Хостел 39 Регион,"ул. Куйбышева 40, Калининград 236016 Россия",54.725044,20.537989
8330066,2020-12-15,Калининградская область,Калининград,Отели,,,Хостел Папа House,"ул. Тихоненко, д. 29а, Калининград 236010 Россия",54.71888,20.42994
2096344,2020-12-15,Калининградская область,Калининград,Отели,,,Отель Блюз,"ул. Бородинская, д. 10, Калининград 236010 Россия",54.71564,20.472
21054620,2020-12-15,Калининградская область,Светлогорский район,Отели,,,"Отель ""Хартман""","Октябрьская, 1/10, Светлогорск 238560 Россия",54.94105,20.157255
10746994,2020-12-15,Калининградская область,Калининград,Отели,,,Амалиенау Хостел и Апартаменты,"ул. Карла Маркса, 19, Калининград 236022 Россия",54.72901,20.48659
6577612,2020-12-15,Калининградская область,Светлогорский район,Отели,,,"Апарт-отель ""Мечта""","ул. Маяковского, 16А, Светлогорск 238560 Россия",54.941,20.15895
14982453,2020-12-15,Калининградская область,Калининград,Отели,,,Отель БРИЗ,"улица Карла Маркса дом 10, Калининград 236022 Россия",54.728786,20.483246
2550491,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Самбия,"Володарского ул., 20, Зеленоградск 238530 Россия",54.96417,20.483965
12001012,2020-12-15,Калининградская область,Калининград,Рестораны,,,Быков Бар,"ул. Профессора Баранова, 40 ТРЦ ""Европа"", Калининград 236029 Россия",54.718906,20.499395
6129946,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,У Нептуна,"ул. Гагарина, 2Б, Зеленоградск 238530 Россия",54.960384,20.46947
6129779,2020-12-15,Калининградская область,Калининград,Рестораны,,,Панда,"Багратиона, 81-85, Калининград 236039 Россия",54.69913,20.51707
13320241,2020-12-15,Калининградская область,Калининград,Рестораны,,,Чайхана Калининград-Ташкент,"ул. Ульяны Громовой, д. 4А, Калининград 236011 Россия",54.716896,20.500237
20239671,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,Кафе “Густо Fresco”,"Тургенева 10д ТЦ”Нептун, Зеленоградск 238326 Россия",54.955357,20.480871
8527438,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,"Бар,Паб",Mistelle,"ул. Гагарина, 38 А, Зеленоградск 238530 Россия",54.95503,20.454756
9765920,2020-12-15,Калининградская область,Калининград,Рестораны,,,Встреча,"Площадь Калинина 1Б, Калининград 236039 Россия",54.69668,20.497946
3770770,2020-12-15,Калининградская область,Калининград,Рестораны,,Кафе,Круассан кафе,"пр-кт Мира, д. 23/27, Калининград 236022 Россия",54.719837,20.486692
9741207,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,Кафе,"Трактир ""У дороги""","Улица Победы, Рыбачий Россия",55.158123,20.843584
6129681,2020-12-15,Калининградская область,Калининград,Рестораны,,,"Кафе ""Руно""","улица Нарвская, 47А, Калининград 236022 Россия",54.73363,20.496984
14043313,2020-12-15,Калининградская область,Калининград,Рестораны,,,Британника Север,"ул. Горького,  160а, Калининград 236029 Россия",54.742207,20.503677
6681033,2020-12-15,Калининградская область,Калининград,Рестораны,,,Берлин,"Киевская ул., 17б, Калининград 236039 Россия",54.69102,20.50001
6129899,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Светлогорск 2,"Ленина, 33, Светлогорск 238560 Россия",54.94254,20.16689
12842886,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,,КАФЕ 12,"ул. Ленина, 32A, Зеленоградск 238530 Россия",54.956753,20.463453
3776364,2020-12-15,Калининградская область,Калининград,Рестораны,,Бар,Папаша Беппе,"улица Космонавта Леонова, 66а, Калининград 236023 Россия",54.734165,20.481655
10550566,2020-12-15,Калининградская область,Неман,Рестораны,,,Deutsches Haus,"ул. Победы, 51, Неман 238710 Россия",55.04261,22.020645
6182524,2020-12-15,Калининградская область,Калининград,Рестораны,,,Калининград-Ташкент,"Театральная, 21, Калининград 236006 Россия",54.717068,20.50034
3770942,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Русь,"ул. Верещагина, д. 10 отель ""Русь"", Светлогорск Россия",54.946762,20.165894
3759312,2020-12-15,Калининградская область,Калининград,Рестораны,,Кафе,Круассан-кафе,"Театральная ул., 30, Калининград 236022 Россия",54.717648,20.500744
8458583,2020-12-15,Калининградская область,Калининград,Рестораны,,,Лобби-бар,"ул. Октябрьская, 6А Гостиница Гелиопарк Кайзерхоф, Калининград 236005 Россия",54.702812,20.515705
6129634,2020-12-15,Калининградская область,Калининград,Рестораны,,,Гриль-хаус Charing Cross,"Александра Невского, 53, Калининград 236016 Россия",54.73177,20.530867
12363669,2020-12-15,Калининградская область,Калининград,Рестораны,,,Кукси39,"Парковый пер., 7/2, Калининград Россия",54.71646,20.45631
3778015,2020-12-15,Калининградская область,Гурьевский район,Рестораны,,,Домик в деревне,"ул. Шоссейная, д. 3а, Моршанское Россия",54.855923,20.512783
6129898,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Зеештерн,"Морская, 11, Светлогорск 238560 Россия",54.94583,20.149855
10748981,2020-12-15,Калининградская область,Гвардейск,Рестораны,,,"Кафе ""Пруссия""","Центральный, дом 5, Гвардейск 238210 Россия",54.647522,21.067778
5527673,2020-12-15,Калининградская область,Черняховск,Отели,,,"Парк-отель ""Ангел""","Гусевское ш., 92 км, Черняховск 238151 Россия",54.63572,21.898783
2703888,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Пансионат Раушен,"ул. Ленина, 48 А, Светлогорск 238560 Россия",54.94254,20.16689
2275644,2020-12-15,Калининградская область,Калининград,Отели,,,"Гостиница ""Маяк""","ул. Солдатская, 2, Калининград 236023 Россия",54.73821,20.480621
