с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Нижегородская область,Желнино,Отели,,,Загородный отель Чайка,Желнино 606044 Россия,56.19372,43.372883
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Отель ""Дипломат""","ул. Большая Печерская, 26 5 этаж, Нижний Новгород 603155 Россия",56.325207,44.02343
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиный дом 12 месяцев,"ул. Цимлянская, д. 5, Нижний Новгород 603126 Россия",56.31316,44.07391
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Никола Хаус,"Пожарского улица, д. 18, Нижний Новгород 603005 Россия",56.3246,44.00033
2020-10-22,Нижегородская область,Городец,Отели,,,"Гостиница ""Премьер Отель""","Садовая ул., 24, Городец 606500 Россия",56.660625,43.49347
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Сергиевская,"ул. Сергиевская, д. 12, Нижний Новгород 603109 Россия",56.323277,43.990097
2020-10-22,Нижегородская область,п. Шатки,Отели,,,Shatkovskaya Inn,"1 Mikrorayon, House 17, п. Шатки 607700 Россия",55.18939,44.12003
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Guest House Argos Hotel,"Ol'gino 16, Нижний Новгород 603137 Россия",56.216393,43.934704
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Бэрри-хостел,"Почаинская ул., 7А, Нижний Новгород 603001 Россия",56.328186,43.995674
2020-10-22,Нижегородская область,Ильино,Отели,,,Загородный клуб Ильдорф,"ул. Приозерная ,д.1, Ильино 606090 Россия",56.21258,42.880486
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Бизнес-отель Николь,"Сормовское ш., д. 15а, Нижний Новгород 603074 Россия",56.32093,43.9299
2020-10-22,Нижегородская область,Дивеево,Отели,,,Dom on Parkovaya 34,"Parkovaya ulitsa 34, Дивеево 607320 Россия",55.03257,43.23059
2020-10-22,Нижегородская область,Пыра ,Отели,,,Пыра М7,"Московская 28, Пыра  606055 Россия",56.29381,43.352875
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Beketoff,"8A Ulitsa Beketova, Нижний Новгород 603057 Россия",56.29195,43.99101
2020-10-22,Нижегородская область,Филипповское,Отели,,,Малиновая слобода,"улица Слободка, дом 32в, Филипповское 606476 Россия",56.52051,44.11596
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Премьер,"ул. Новая, д. 32, Нижний Новгород Россия",56.311943,43.99351
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Happy Holiday Hostel,"ul. Grebeshkovskiy Otkos 9A, Нижний Новгород 603000 Россия",56.31974,43.9799
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Мегаполис,"ул. Рождественская, д. 47Д, Нижний Новгород 603001 Россия",56.32689,43.98254
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Монами,"Ул. Минина, 2/8/1А, Нижний Новгород 603005 Россия",56.32938,44.00878
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Шинель,"ул. Стрелка, 4, Нижний Новгород 603086 Россия",56.33147,43.96801
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Рокко,"ул. Минина, д. 10б, Нижний Новгород 603005 Россия",56.328842,44.01359
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Хостел ""Хоум Хостел НН""","Ивановский съезд, 3 Бывшая ул. Рождественская, д.3, Нижний Новгород 603001 Россия",56.330124,43.998573
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Отель ""Серебряный ключ""","Рыбный пер., 8, Нижний Новгород 603001 Россия",56.3305,43.998756
2020-10-22,Нижегородская область,Лысково,Отели,,,"Загородный отель ""Парус""","ул. Нижняя Набережная, 2, Лысково 606210 Россия",56.045944,45.039852
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Горький Отель,"ул. Б.Покровская, 5/6, Нижний Новгород 603005 Россия",56.325405,44.003483
2020-10-22,Нижегородская область,Дзержинск,Отели,,,"Мотель ""Кросс Мотель""","Игумновское шоссе, здание 4, Дзержинск 606000 Россия",56.299953,43.59099
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Ключ,"ул. Серебряный ключ, д.166 Sartakovo, Нижний Новгород 607635 Россия",56.18413,43.81865
2020-10-22,Нижегородская область,Дивеево,Отели,,,"Гостевой Дом ""Странник""","ул. Труда, 5/3, Дивеево 607320 Россия",55.04197,43.23932
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Октябрьская,"Верхне-Волжская наб., д. 9а, Нижний Новгород 603005 Россия",56.32852,44.01974
2020-10-22,Нижегородская область,Дивеево,Отели,,,Дом паломника,"ул. Советская, дом 2, Дивеево 607320 Россия",55.39102,43.81282
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Интернациональ,"ул. Интернациональная, 96 А, Нижний Новгород 603002 Россия",56.314262,43.95203
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Серая Лошадь,"Канавинская, 3а, Нижний Новгород 603002 Россия",56.94389,45.314045
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Астра,"ул. Гужевая, 48, Нижний Новгород 603105 Россия",56.300827,44.030075
2020-10-22,Нижегородская область,Арзамас,Отели,,,Люкс,"ул. Нижегородская д. 7б, Арзамас Россия",55.40243,43.84176
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Нижний Хостел,"ул. Алексеевская, 13б, Нижний Новгород 603005 Россия",56.322926,44.004253
2020-10-22,Нижегородская область,п. Новинки,Отели,,,Спортивная деревня  Новинки,"Окская, 19, п. Новинки 607635 Россия",56.19631,43.84088
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Профсоюзная,"пр. Гагарина, д. 25б, Нижний Новгород 603057 Россия",56.29494,43.9753
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Мини-отель Александровская слобода,"ул. Александровская Слобода, 3, Нижний Новгород 603000 Россия",56.28969,44.08081
2020-10-22,Нижегородская область,Малый Суходол,Отели,,,Изумрудное,"д. Большой Суходол, Городецкий район, Нижегордская область, Малый Суходол 603002 Россия",56.801342,43.347427
2020-10-22,Нижегородская область,Дивеево,Отели,,,Монастырский Дворик,"ул. Арзамасская, 6А, Дивеево Россия",55.041397,43.240707
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостевой Дом Чилаут,"ул. Рождественская, 8""б"" 2 подъезд, 3 этаж, Нижний Новгород Россия",56.32952,43.99733
2020-10-22,Нижегородская область,Дивеево,Отели,,,Guesthouse Pribrezhnyi,"ulitsa Zariechnaia 260A, Дивеево 607320 Россия",55.035007,43.241516
2020-10-22,Нижегородская область,Арзамас,Отели,,,"Гостиница ""Победа""","ул. Победы, д. 2, Арзамас 607220 Россия",55.41937,43.81242
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Русский Капитал,"ул. Минеева, 29, Нижний Новгород 603018 Россия",56.222904,43.83593
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Династия,"Спортивная, 13, Нижний Новгород 603010 Россия",56.30928,43.9261
2020-10-22,Нижегородская область,Семенов,Отели,,,"Гостиница ""Париж""","пл. Б. Корнилова, 2, Семенов 606650 Россия",56.787582,44.496643
2020-10-22,Нижегородская область,Арзамас,Отели,,,Отель Коммерсант,"ул.Парковая, д.1-г, Арзамас 607220 Россия",55.40157,43.8322
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Ярмарочная,"Должанская улица, д. 1А, Нижний Новгород 603086 Россия",56.33171,43.96024
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Пешков Отель,"ул. Ульянова, 7, Нижний Новгород 603005 Россия",56.325874,44.010548
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,мини-отель Яблоки,"ул. Дружбы, 19а, Нижний Новгород 603000 Россия",56.2876,43.91436
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Каскад Отель,"ул. Щербакова, д.15, Нижний Новгород 603003 Россия",56.349674,43.870937
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Отель ""Атлантик""","ул. Минеева, 29/2, Нижний Новгород 603018 Россия",56.22582,43.83809
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Троицкая,"пер. Вахитова, д. 8Б, Нижний Новгород 603093 Россия",56.3289,43.99324
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Ока,"Ошарская, 18, Нижний Новгород 603006 Россия",56.31544,44.02732
2020-10-22,Нижегородская область,Подлысье,Отели,,,"Дачный отель ""Река чаек""",Подлысье 606710 Россия,57.05762,45.26556
2020-10-22,Нижегородская область,Арзамасский район,Отели,,,"Профилакторий ""Морозовский""","Арзамас 50 лет ВЛКСМ, 8А, с. Морозовка 607220 Россия",55.44513,43.94138
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Hotel Tauri,"3 Studenaya ulitsa, Нижний Новгород 603000 Россия",56.31859,43.99995
2020-10-22,Нижегородская область,Судострой,Отели,,,Перемиловы горы,"ул. Приокская, д. 9а, Судострой 607115 Россия",55.723648,42.257824
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Hit Hotel,"ul Sovetskaya 18, p.3, Нижний Новгород Россия",56.32843,43.96404
2020-10-22,Нижегородская область,Дивеево,Отели,,,"Гостиничный комплекс ""ВалентинА""","ул. Строителей, д. 2а/1, Дивеево 607320 Россия",55.044315,43.255943
2020-10-22,Нижегородская область,Кстово,Отели,,,Отель Любимый Город,"Ул. Школьная, 8 А, Кстово 607651 Россия",56.151585,44.199223
2020-10-22,Нижегородская область,Арзамас,Отели,,,Hotel Bunin,"146 Prospekt Lenina, Арзамас 607220 Россия",55.39497,43.82871
2020-10-22,Нижегородская область,Владимирское,Отели,,,Святогор,"ул. Советская, д. 63В, Владимирское 606755 Россия",56.82429,45.12508
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Hostel Rus,"ул. Рождественская, д.3, Нижний Новгород 603001 Россия",56.33016,43.99844
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Черный Пруд,"ул. Ошарская, 1/2, Нижний Новгород 603005 Россия",56.32224,44.00863
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Апарт-Отель ""Ностальгия""","ул. Тимирязева, 43, Нижний Новгород 603015 Россия",56.309216,44.00512
2020-10-22,Нижегородская область,Выкса,Отели,,,Дубки,"ул. Лесная Красный Бакен, Выкса 607047 Россия",55.182983,41.89755
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Острожский Вал,"ул.Минина, д.12, Нижний Новгород 603005 Россия",56.328693,44.01524
2020-10-22,Нижегородская область,Кстово,Отели,,,Guest House Domashniy Uyut,"1 ulitsa Chernyshevskogo, Кстово 607650 Россия",56.13732,44.20384
2020-10-22,Нижегородская область,Дивеево,Отели,,,"Гостевой Дом "" Визит""","ул. Пискунова, 5, Дивеево 607320 Россия",55.02393,43.25434
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Ягодная Деревушка,"Ошарская, 18, Нижний Новгород 603006 Россия",56.319927,44.00979
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Seven Hotel,"7, Dobrolyubova, Нижний Новгород 603000 Россия",56.32389,43.99596
2020-10-22,Нижегородская область,Арзамас,Отели,,,"Гостиница ""Пантера""","ул.Володарского д. 83Б, Арзамас 607220 Россия",55.38245,43.81701
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Московская,"ул. Чаадаева, 3Б, Нижний Новгород 603035 Россия",56.32846,43.85655
2020-10-22,Нижегородская область,д. Афонино,Отели,,,Green Street,"ул. Зелёная, д. 69, д. Афонино 607680 Россия",56.27362,44.087067
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Старт,"ул. Линдовская, 60 корп. 2, Нижний Новгород 603157 Россия",56.34205,43.87389
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,РедВуд Хостел,"ул. Новая, 15, Нижний Новгород 603000 Россия",56.31159,43.99709
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Log House,"ул. Артельная, 21а, Нижний Новгород 603089 Россия",56.29912,43.986
2020-10-22,Нижегородская область,Шава,Отели,,,Шавская долина,Шава 603009 Россия,56.33,44.01
2020-10-22,Нижегородская область,п. Большое Козино,Отели,,,Zagorodniy Club Olimpiya,"Пушкина, 2в, п. Большое Козино 606422 Россия",56.403683,43.696796
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Тихий дворик,"Бульвар Мира, 10, Нижний Новгород 603086 Россия",56.32689,43.95633
2020-10-22,Нижегородская область,Афанасьево,Отели,,,Живые Родники,Афанасьево 603111 Россия,56.040527,43.71715
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Хостел ""Австерия""","Ул.Сергиевская, 8, Нижний Новгород 606000 Россия",56.323307,43.993057
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Загородный Клуб Аляска,"Водопроводная, 2в, Нижний Новгород 432048 Россия",54.89108,42.77253
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Терраски,"Родионова, 22, Нижний Новгород 603093 Россия",56.32145,44.04569
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Горьковская,"ул. Маслякова д.12а, Нижний Новгород 603000 Россия",56.31576,43.985
