с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Самарская область,Ставропольский район,Отели,,,Lastochkino Gnezdo,"46 Partizanskaya Ulitsa Samarskaya Oblast' ul. Partizanskaya 46, с. Ташла 445132 Россия",53.700874,49.76646
2020-10-23,Самарская область,п. Волжский Утёс,Отели,,,Guest House Laguna,"Princess Gagarina St 25/361A, п. Волжский Утёс 98541 Россия",53.38306,49.10053
2020-10-23,Самарская область,Ставропольский район,Отели,,,Молодецкий курган,"Молодецкий Курган, д. 4, Жигули 445163 Россия",53.3579,49.301
2020-10-23,Самарская область,Ставропольский район,Отели,,,Ранчо Парк,"3 Solnechnaya Ulitsa, Нижнее Санчелеево 445134 Россия",53.6784,49.4315
2020-10-23,Самарская область,Ставропольский район,Отели,,,Khutorok Ozernyi Holiday Park,"Ulitsa Partizanskaya 46, с. Ташла 445132 Россия",53.700874,49.76646
2020-10-23,Самарская область,Ставропольский район,Отели,,,Удача гостиничный комплекс,"Транспортная ул., 3, Подстёпки 445143 Россия",53.590134,49.220196
2020-10-23,Самарская область,Самара,Отели,,,Mini-Hotel on 5-ya Proseka 95,"Строение 1 , этаж 22-23 , квартира 158, Самара 443124 Россия",53.24269,50.18252
2020-10-23,Самарская область,Самара,Отели,,,Apartment On Svobody 13,"Ulitsa Svobody 13, Самара 443058 Россия",53.20941,50.23508
2020-10-23,Самарская область,Самара,Отели,,,Hostel on Aerodromnaya,"10 Ulitsa Aerodromnaya 4, Самара 443069 Россия",53.1917,50.17772
2020-10-23,Самарская область,Самара,Отели,,,Apartment On Novo-Vokzal'naya 14,"Novo-Vokzal'naya Ulitsa 14, Самара 443058 Россия",53.21791,50.24273
2020-10-23,Самарская область,Самара,Отели,,,"Хостел ""Авантаж""","Stromilovskoye Shosse 5 Podstepnyy, Самара 443004 Россия",53.09682,50.07269
2020-10-23,Самарская область,Самара,Отели,,,Motel Na Sadovoy,"ul. Sadovaya, 81, Самара 443020 Россия",53.18062,50.09933
2020-10-23,Самарская область,Самара,Отели,,,Гостиница СТАРТ,"Ulitsa Sovetskoy Armii 243, Самара 443011 Россия",53.23649,50.18489
2020-10-23,Самарская область,Самара,Отели,,,Guest house On Berezovaya Alleya,"Berezovaya Alleya 19А, Самара 443028 Россия",53.20581,50.175022
2020-10-23,Самарская область,с. Ширяево,Отели,,,Gostevoy dom na Volge v Shiryaevo,"33 Sovetskaya Ulitsa, с. Ширяево 445364 Россия",53.4181,50.02491
2020-10-23,Самарская область,Сызрань,Отели,,,Золотои Дракон,"Дзержинского 50, Сызрань 446001 Россия",53.15749,48.47849
2020-10-23,Самарская область,с. Ширяево,Отели,,,Kemper-Shire,"Samarskaya ulitsa 2, с. Ширяево 445364 Россия",53.41693,50.01558
2020-10-23,Самарская область,Сызрань,Отели,,,"База отдыха ""Удача""","Moskovskaya Ulitsa 1 Bestuzhevka Village, Сызрань 446026 Россия",53.16218,48.47945
2020-10-23,Самарская область,Соковнинка,Отели,,,БОРСКАЯ КРАСА,"Октябрьская, 89, Соковнинка 443901 Россия",53.21025,50.12383
2020-10-23,Самарская область,с. Ширяево,Отели,,,Крестьянское подворье,"ул. Ширяевца, д. 16, с. Ширяево 445364 Россия",53.41855,50.01929
2020-10-23,Самарская область,Сызрань,Отели,,,Старый Хутор,"Московский тракт 11,, Сызрань 446026 Россия",53.52963,49.2603
