с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
17409116,2020-12-15,Краснодарский край,Анапа,Рестораны,,,Атмосфера лаундж-бар,"Кордонный переулок, 1и, Анапа 353440 Россия",44.8971,37.31881
8346511,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Фортуна,"Кореновская, 12, Краснодар 350005 Россия",45.09809,38.97125
8346537,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Фреско-Бейкери,"Сормовская, 10/4, Краснодар 350018 Россия",45.02248,39.05468
15810639,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Buddha ICE Bar,"Ачипсинская улица, 12 РЦ Галактика, Сочи 354392 Россия",43.686012,40.279175
6024904,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Тинатинъ,"Красных Партизан, 218, Краснодар 350049 Россия",45.05185,38.95546
3940423,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Ресто-Клуб Лилия,"ул. Береговая, 146 Мост поцелуев, Краснодар 350916 Россия",45.04113,38.79993
8348910,2020-12-15,Краснодарский край,Крымск,Рестораны,,,Платан,"Комсомольская, 20а, Крымск 353380 Россия",44.93235,37.99003
15210532,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Эридан,"Просвещения, 144, Сочи 354340 Россия",43.475826,39.89397
17396486,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Ля Круасс,"Красная,  67, Краснодар 350000 Россия",45.06146,38.88753
8450041,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,"Бар,Паб",Хмельная лавка,"ул. Пирогова, д. 4а, Сочи 354008 Россия",43.60849,39.71265
14068508,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Сушиfornia,"ул. Невская, д.19, Сочи 354057 Россия",43.59359,39.73156
13157667,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Staroe Cafe,"ул. Туапсинская, 7, Сочи 354057 Россия",43.59429,39.73552
20346188,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Don Vito,"Армавирская,  дом 56, Сочи 354207 Россия",43.65856,39.65157
14929540,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,Кафе,"Столовая ""оливки""","Донская, 108/4, Сочи 354068 Россия",43.61337,39.72776
8484342,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Трапезная,"ул. Донская, д. 3/9, Сочи 354068 Россия",43.61337,39.72776
13890998,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Сели Поели,"ул. Северная, 6, Сочи 354000 Россия",43.59435,39.72744
13319959,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Пивнушка № 1,"ул. Навагинская, 11, Сочи 354000 Россия",43.58461,39.72063
